Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,
173.194.35.44-192.168.1.101-443-56654-6,192.168.1.101,56654,173.194.35.44,443,2014-08-08 01:02:20,8169202.0,3,1,117.0,41.0,76,0,39.0,31.059083480789745,41,41,41.0,0.0, , ,2723067.3333333335,3287599.5870390837,7348224.0,110.0,7348334.0,3674167.0,3674057.0,7348224.0,110.0,0,0,0,0,0,1,0,0,0,60,20,0.36723293168659554,0.36723293168659554,0,76,39.8,24.078205913232,579.7600000000004,
173.194.35.58-192.168.1.101-80-56588-6,192.168.1.101,56588,173.194.35.58,80,2014-08-08 01:02:12,16597036.0,2,1,0.0,1.0,0,0,0.0,0.0,1,1,1.0,0.0, , ,8298518.0,5899546.0,14198064.0,2398972.0,2398972.0,2398972.0,0.0,2398972.0,2398972.0,0,0,0,0,0,0,0,0,0,40,20,0.12050344410893608,0.12050344410893608,0,1,0.5,0.5,0.25,
178.123.13.120-192.168.1.101-26895-42559-17,192.168.1.101,42559,178.123.13.120,26895,2014-08-08 01:02:00,0.0,0,1,0.0,67.0,0,0,0,0,67,67,67.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,67,67,67.0,0.0,0.0,
192.168.1.101-208.117.231.17-56561-443-6,208.117.231.17,443,192.168.1.101,56561,2014-08-08 01:02:01,31282575.0,70,1,98000.0,1400.0,1400,1400,1400.0,0.0,1400,1400,1400.0,0.0, , ,446893.9285714286,596430.9494189421,3369288.0,3.0,30674539.0,444558.53623188403,600419.5190682367,3369288.0,3.0,0,0,0,0,0,0,0,0,0,1400,20,2.2376674554444445,2.2376674554444445,1400,1400,1400.0,0.0,0.0,
208.117.231.17-192.168.1.101-443-56562-6,192.168.1.101,56562,208.117.231.17,443,2014-08-08 01:02:01,31459652.0,46,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, , ,683905.4782608695,890343.5384573838,5800007.0,47.0,31059191.0,690204.2444444444,899167.6179790866,5800007.0,47.0,0,0,0,0,0,0,0,0,0,1240,32,1.462190363707774,1.462190363707774,0,0,0.0,0.0,0.0,
192.168.1.101-208.117.231.17-56562-443-6,208.117.231.17,443,192.168.1.101,56562,2014-08-08 01:02:01,31054348.0,53,1,74200.0,1400.0,1400,1400,1400.0,0.0,1400,1400,1400.0,0.0, , ,585931.0943396227,857696.8429269621,5773243.0,4.0,30826043.0,592808.5192307692,864455.9134940243,5773243.0,4.0,0,0,0,0,0,0,0,0,0,1060,20,1.7066853247087976,1.7066853247087976,1400,1400,1400.0,0.0,0.0,
208.117.231.17-192.168.1.101-443-56561-6,192.168.1.101,56561,208.117.231.17,443,2014-08-08 01:02:01,31358996.0,52,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, , ,603057.6153846154,634006.1735067411,3400645.0,22.0,30758377.0,603105.431372549,640191.6532106908,3400645.0,22.0,0,0,0,0,0,0,0,0,0,1364,20,1.6582163536103005,1.6582163536103005,0,0,0.0,0.0,0.0,
192.168.1.101-208.117.231.17-56563-443-6,208.117.231.17,443,192.168.1.101,56563,2014-08-08 01:02:01,30031814.0,62,1,86800.0,1400.0,1400,1400,1400.0,0.0,1400,1400,1400.0,0.0, , ,484384.0967741936,595090.367093715,3432716.0,2.0,29372967.0,481524.04918032786,599525.5161262174,3432716.0,2.0,0,0,0,0,0,1,0,0,0,1240,20,2.06447735724522,2.06447735724522,1400,1400,1400.0,0.0,0.0,
192.168.1.101-178.123.13.120-42559-26895-17,178.123.13.120,26895,192.168.1.101,42559,2014-08-08 01:02:01,0.0,0,1,0.0,70.0,0,0,0,0,70,70,70.0,0.0, , ,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,70,70,70.0,0.0,0.0,
208.117.231.17-192.168.1.101-443-56563-6,192.168.1.101,56563,208.117.231.17,443,2014-08-08 01:02:01,29959523.0,44,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, , ,680898.25,647242.8689580528,3399490.0,22.0,29573982.0,687767.023255814,653138.4328360345,3399490.0,22.0,0,0,0,0,0,0,0,0,0,1268,20,1.468648215794357,1.468648215794357,0,0,0.0,0.0,0.0,
